location,count(total_deaths)
Afghanistan,1095
Africa,1108
Albania,1084
Algeria,1097
Andorra,1091
Angola,1073
Anguilla,1065
"Antigua and Barbuda",1078
Argentina,1085
Armenia,1089
Aruba,1079
Australia,1123
Austria,1093
Azerbaijan,1091
Bahamas,1076
Bahrain,1098
Bangladesh,1085
Barbados,1072
Belarus,1094
Belgium,1116
Belize,1070
Benin,1076
Bermuda,1074
Bhutan,1087
Bolivia,1082
"Bonaire Sint Eustatius and Saba",1060
"Bosnia and Herzegovina",1088
Botswana,1062
Brazil,1091
"British Virgin Islands",1065
Brunei,1080
Bulgaria,1085
"Burkina Faso",1083
Burundi,1062
Cambodia,1126
Cameroon,1082
Canada,1128
"Cape Verde",1073
"Cayman Islands",1080
"Central African Republic",1078
Chad,1074
Chile,1099
China,1128
Colombia,1086
Comoros,1032
Congo,1077
"Cook Islands",646
"Costa Rica",1084
"Cote d'Ivoire",1081
Croatia,1097
Cuba,1081
Curacao,1079
Cyprus,1082
Czechia,1087
"Democratic Republic of Congo",1082
Denmark,1093
Djibouti,1075
Dominica,1070
"Dominican Republic",1092
Ecuador,1087
Egypt,1108
"El Salvador",1073
"Equatorial Guinea",1077
Eritrea,1072
Estonia,1094
Eswatini,1079
Ethiopia,1080
Europe,1129
"European Union",1129
"Faeroe Islands",1089
"Falkland Islands",1056
Fiji,1074
Finland,1122
France,1116
"French Polynesia",1079
Gabon,1079
Gambia,1075
Georgia,1093
Germany,1125
Ghana,1079
Gibraltar,1085
Greece,1096
Greenland,1076
Grenada,1070
Guatemala,1079
Guinea,1080
Guinea-Bissau,1068
Guyana,1080
Haiti,1072
"High income",1131
Honduras,1081
"Hong Kong",1128
Hungary,1086
Iceland,1092
India,1119
Indonesia,1091
Iran,1103
Iraq,1098
Ireland,1086
"Isle of Man",1073
Israel,1098
Italy,1120
Jamaica,1082
Japan,1130
Jordan,1089
Kazakhstan,1078
Kenya,1080
Kiribati,648
Kosovo,1079
Kuwait,1095
Kyrgyzstan,1075
Laos,1068
Latvia,1091
Lebanon,1101
Lesotho,1019
Liberia,1074
Libya,1069
Liechtenstein,1087
Lithuania,1073
"Low income",1098
Luxembourg,1089
Macao,1129
Madagascar,1016
